cell_id	poi_count_total	poi_amenity_count	poi_shop_count	poi_tourism_count	poi_leisure_count	poi_office_count	poi_public_transport_count	poi_log1p_total
6_47	0	0	0	0	0	0	0	0.0
6_48	0	0	0	0	0	0	0	0.0
6_49	0	0	0	0	0	0	0	0.0
6_50	0	0	0	0	0	0	0	0.0
6_51	0	0	0	0	0	0	0	0.0
6_52	0	0	0	0	0	0	0	0.0
6_53	0	0	0	0	0	0	0	0.0
6_54	1	1	0	0	0	0	0	0.6931471805599453
6_55	0	0	0	0	0	0	0	0.0
6_56	0	0	0	0	0	0	0	0.0
6_57	0	0	0	0	0	0	0	0.0
6_58	0	0	0	0	0	0	0	0.0
6_59	0	0	0	0	0	0	0	0.0
6_60	1	0	0	0	0	0	1	0.6931471805599453
6_61	6	4	0	0	1	0	1	1.9459101490553132
6_62	10	8	0	0	2	0	0	2.3978952727983707
6_63	1	1	0	0	0	0	0	0.6931471805599453
6_64	19	9	0	1	9	0	0	2.995732273553991
6_65	0	0	0	0	0	0	0	0.0
